LTE_LL_7,LTE_EE_7,LTE_SS_7,LTE_LE_7,LTE_ES_7,LTE_LS_7,label
307831.5239047476,2751.5189407599846,465.4965818902211,16574.72204363284,1102.9532617025768,4948.630569874221,flavigenum
356895.2998891893,2132.806100710283,265.0626089900696,17866.149620420252,692.136891516241,3597.223403264322,neoechinulatum
364550.7143378146,3567.58658185482,506.53940829304383,21073.31187462811,1315.8828380079476,6619.643277961073,venetum
299819.2103199475,620.4168589001468,74.88747058139774,5433.648353961573,202.41029385393665,1069.090852905079,hirsutum
319891.4984414635,2057.452536616476,325.40823675658385,12296.57184162907,799.9388454048491,3509.5728442142135,freii
358791.1414946568,2852.9327485203453,363.573701881629,19905.746379394455,953.6604988676984,4685.25031597449,entromorphobium
367593.9413261788,3472.2650984793268,475.18857069195485,20601.152574457654,1258.0856282093093,6403.7807382535975,venetum
321980.99636654643,2306.9159778880926,370.33654367501106,15966.12416238148,886.7253755423429,4074.839730342202,flavigenum
296688.51402435347,1970.0561502874416,374.04763686541713,9932.712923611743,852.7609415805816,3430.0180520411122,polonicum
331536.50764408946,1154.8809228006,171.32082634672136,9110.812598784883,421.9167813958287,1945.4171868557755,harmonense
301790.87956923543,3058.728942004343,459.803576778288,18717.96038875066,1141.8128510208353,5172.866003416311,freii
332089.69536134123,1370.0309596946759,206.68646261740614,8631.667235223493,519.6214811984023,2296.4844324838796,mononematosum
366934.2434461686,1207.8691899831379,161.41827974797846,9779.26103850446,405.49895247649954,1835.310169199738,Eupenicillium egyptiacum
375894.80457520165,2030.9953856611767,281.05876012391076,14833.672861344616,716.1494105151116,3284.2493261636127,nalgiovense
285371.32294919825,1010.7106530893166,145.7178906524848,6869.2965775954235,360.0068543989215,1663.5452554159067,roqueforti
293368.3467844005,1991.3605690753313,382.9407858415243,9968.621801539346,868.1847799075052,3444.1509333121094,polonicum
311441.39962163905,2313.4913895697355,378.7945390298152,16287.102265453523,882.5693579433073,3922.4353968243036,radicicola
326762.4059251572,2992.8671245003397,538.2633055715053,18160.536476097688,1230.510743248055,5359.470695331951,dipodomyicola
364878.9623977549,1304.9031470710622,170.6079177367998,11762.072522665887,439.12318916690526,2081.623865503925,Eupenicillium crustaceum
349001.3148419445,2748.7040699246586,418.0488421245888,18774.16980839164,1014.3458910477952,4444.5199870187835,glandicola
373095.4881241762,1284.4773755779283,136.4793794878685,11980.863595638928,385.26014133525393,2253.047878557756,entromorphobium
386903.0916466797,848.4589436930069,112.51492735433384,9497.930378932942,282.112487591923,1367.5418034820557,nalgiovense
349598.91763504635,2642.788267276504,368.8239443173048,18292.946140682274,943.3073128417592,4761.3132443207,entromorphobium
332174.357609144,944.1088266796293,135.90727165974081,7064.552201417742,341.6778305390137,1534.055634514195,harmonense
279651.6800028779,898.8717484326774,148.86222528787516,6783.564181762902,348.6802562717447,1559.5810834078538,digitatum
320643.71566002845,3246.1217613372914,487.9278017345772,19858.31858549379,1204.9266800233436,5596.278067879947,expansum
376040.3018555475,2684.683071989496,342.21144150643005,19120.824987728127,897.0063094114561,4402.910944973373,thymicola
286498.9905400522,1369.4724151398702,168.51924477643692,9967.116228952837,459.2250635636684,2305.8310572827413,polonicum
365658.76530596433,2106.933225010744,242.62959139896537,19902.04635199436,658.3969062401529,3359.324706820029,nordicum
306905.199881856,1434.7323131644016,242.8294042205625,10161.974828313207,572.1976480676478,2453.537549397308,olsonii
313071.1580178641,3725.475122002505,649.8177147003677,20799.604027347457,1516.7158625464067,6576.516314093703,griseofulvum
291541.1619860703,2920.843571484465,475.96914012175847,15789.694616851522,1154.226540329442,5027.855713553798,expansum
308495.1288817761,2477.289535063279,375.9579172852178,14471.711656453932,943.638445714023,4196.190709072753,freii
331471.1181537012,1101.2137004043916,132.39792189540674,11372.416969793254,353.8857291515833,1842.0032335414107,percisinum
373574.78242110333,1382.6171002110643,186.46285121768685,11542.289541121558,471.45245607071405,2072.3883297909215,Eupenicillium crustaceum
323184.9498668456,3118.674429936713,558.2759706278997,19168.009405719386,1268.7795239085895,5467.584385205947,dipodomyicola
316969.0474206819,3478.502207299182,498.0361943642445,22186.258113383064,1264.4517056877403,6112.65736106995,expansum
332215.9639207154,2346.56066069069,380.47458038599405,13733.979478897229,922.5463216999356,4152.476987643724,hordei
369017.69518518826,2628.2105783201887,364.49715544921116,16383.267017805238,945.142652303315,4395.3235931618465,radicicola
324300.8112530945,2699.9445770319885,434.9199888868449,15275.443837755167,1057.7199722019354,4675.487191726614,hordei
298037.16440733284,2110.7180327279925,228.79806664033222,16850.805456303162,637.3897276937741,3355.4155574723877,freii
303335.6231646619,2544.89790830595,406.9056162060189,17481.34388648277,964.2925855714286,4325.44540601991,mononematosum
332941.16918832075,3209.7939037069173,458.5102071789093,21347.597989656857,1158.6819049776755,5688.854872653122,expansum
350342.76620338974,2616.2317174763098,369.1963655642508,18817.017559075186,930.30172261584,4343.575265147182,spinulosporum
293010.35070410545,3317.756010890751,513.8945901076416,19363.65096517095,1266.319431769296,5655.151566896553,freii
370366.0107111,1551.6532691136317,201.71366400147005,15872.265854419085,505.7122201474733,2403.1460346041617,Eupenicillium tularense
275242.4271935568,872.5456234723068,100.27393016063814,6901.3014831359915,279.3421753033098,1493.1578028869023,hirsutum
300208.905157841,3238.048752866586,602.1151213769274,17619.968446650397,1367.4457517705846,5630.506767321195,griseofulvum
350110.6823626343,2935.1379068185083,390.16007290555683,22095.274548430723,978.5359112365954,4235.327560878907,nordicum
348970.32335853594,2597.075268618951,366.42929407225313,19508.06130244761,892.4304198131645,3667.247310639835,nordicum
371329.627542433,2818.1750238000077,333.92960570806423,21370.600373464054,870.8667050769031,4006.8144523254005,Eupenicillium osmophilum
307765.6382386968,3478.6374314321747,470.2198731875561,20098.734145724018,1246.0304035743898,6113.311429887708,ulaiense
371915.79929022817,2844.168750160186,371.9788385466714,19779.38975269872,967.549264432784,4511.807901090353,lumpii
358654.69211994176,3186.3978376370733,429.53842821902725,20944.97681032797,1105.5959184321714,4976.295049356275,thymicola
301504.30715910386,3224.0199538735537,484.21629422869376,19524.481512698796,1206.5244572978036,5554.443040954164,freii
319853.0149244157,2250.748759255695,391.6325507717305,13968.956632273661,923.6952259915038,4060.138902040393,nalgiovense
303897.940674427,1283.47644836214,215.3906661633975,9679.524979007334,503.05357840341696,2132.9401418532716,palitans
330877.4489212009,991.8216903416152,150.9704348317479,8721.144101943359,375.94918023415727,1879.5525598761146,Eupenicillium crustaceum
362994.7376405113,1480.7765342387447,204.1204562625215,12627.333681520702,518.6176447949399,2374.3386775507242,scabrosum
359449.7702353464,2552.893439507209,354.70089071838356,17537.103290068553,917.5857658300743,4268.539924530489,nalgiovense
313264.5170704933,1876.2833471027127,320.4000049280504,14420.680751133365,741.3728891081588,3203.302908315325,radicicola
389752.5480120281,832.0163943116005,112.86270477055007,7267.397554744856,287.785097782045,1326.0052229213866,paecilomyoforme
334112.534434596,2506.0507308845044,382.1182824245464,14577.884609519811,948.4423396835969,4311.346786963173,hordei
357913.3071294368,2813.127866379768,340.3850791120169,22227.51794318454,886.0045496972742,4029.120363366647,Eupenicillium osmophilum
328037.37088932045,2968.293681095497,526.5676210018374,18510.00702767713,1205.2307276312454,5256.654118040143,dipodomyicola
335259.89492578764,1771.5440487635724,262.8370254924656,11731.624224468636,660.4598420613695,3031.924852510903,solitum
321102.4166888553,2331.7244619528756,350.63744515013343,15865.84883905139,856.9623335725454,3922.6913303704705,flavigenum
416390.1308633254,1278.5589421911734,137.9547102599982,13835.70364740317,371.0856269482307,1830.7185297080646,gladioli
357083.1609168324,3250.8884762561966,457.5302915029444,19002.512820375272,1198.0026514857464,6090.063627590055,venetum
384229.9833441155,969.0372844696723,133.0520849274284,9089.216923085123,340.2407088610929,1653.4966686117923,nalgiovense
391451.46121642535,1523.3354664921944,178.10341160423977,15112.938545880512,462.9034318965843,2218.035363869709,gladioli
291412.2921267058,1007.3970832372039,145.95437439715954,6989.764768247846,353.6690665410666,1636.4221059067793,roqueforti
379585.02633274766,1400.0399233096462,187.8400806081533,11758.954666244394,473.8241670473835,2078.0309069822843,Eupenicillium crustaceum
325824.21907608776,2758.276735630666,504.98436749841017,16971.71014634583,1157.7463547431048,5088.432284995814,dipodomyis
306242.13619723206,1416.6978812925183,243.32595862323794,10112.159226773769,568.2241055600591,2400.6877046255677,olsonii
335558.1067718207,2531.0676419280308,448.81425774858366,13969.801971001276,1047.6603005420943,4454.299839188325,tricolor
314379.5462194144,2319.133762760922,404.3840771135641,13709.201672965708,945.8556232925571,3953.6048393625815,nalgiovense
374698.44312867423,2409.533268188194,300.05339318430777,19028.411735062127,793.7828371440999,3998.450880754066,lumpii
